StartLat,StartLng
34.789009,-82.483383
40.998264,-76.650396
33.461292,-112.082001
42.288445,-87.924911
36.229259,-86.59465
39.61181,-86.48578
40.632942,-111.834114
35.087444,-80.81192
42.525745,-71.102211
33.968167,-118.167854
42.430325,-123.252602
25.92184,-80.21123
33.701706,-78.903648
41.229465,-95.947044
41.629356,-93.777046
40.79699,-74.19133
32.963951,-117.096207
29.732201,-95.387512
35.494926,-97.464943
34.136311,-117.531662
35.43512,-97.565552
29.622154,-98.608582
38.004682,-121.257549
37.532082,-77.424088
42.461308,-83.106026
34.969131,-81.988297
40.813587,-73.93119
34.404385,-118.419495
34.155064,-118.287109
36.04987,-86.666626
29.16715,-81.087128
41.852177,-72.66436
42.729865,-71.452233
33.817944,-117.941444
42.98962,-71.47144
33.807354,-117.907257
28.597385,-81.261696
42.66927,-84.54404
40.83403,-73.86291
36.171806,-86.768288
37.590557,-77.480063
41.03045,-73.72415
37.73457,-122.19129
32.123203,-110.934669
26.667353,-81.899254
45.029736,-92.961868
36.874294,-76.197533
33.513786,-117.580597
41.518028,-81.674721
35.350021,-119.043404
38.99599,-94.55616
39.883373,-86.069725
27.95558,-82.49075
30.423615,-91.075806
29.954044,-90.085548
32.326744,-86.307816
29.53344,-98.389732
45.566327,-94.138354
33.9213,-118.08314
35.834469,-78.855301
37.023567,-76.329552
33.914104,-118.10495
40.951599,-73.852814
47.62991,-122.32711
44.05996,-121.29376
33.41145,-112.01088
37.555981,-77.461388
35.29997,-80.73395
28.462915,-82.445732
35.267349,-80.853981
34.26987,-118.43222
41.8509,-87.64492
38.9309,-94.65537
45.709597,-121.532023
33.778179,-117.867241
32.923023,-97.060616
36.06451,-80.23588
43.196838,-77.572868
34.316342,-118.439921
36.149609,-95.922523
35.060604,-80.956169
42.399857,-71.016464
40.62573,-73.95638
30.20422,-81.755287
33.98751,-117.36321
35.499702,-119.163617
30.440557,-97.668533
47.235939,-122.25177
35.49691,-97.626732
33.437653,-111.960968
30.20812,-92.011177
34.067696,-117.593964
32.851006,-96.771027
37.345551,-76.522888
27.298796,-82.497566
33.972736,-118.379409
40.254917,-75.38475
34.413036,-86.921288
35.154453,-80.794968
42.368752,-88.169098
42.900345,-117.33844
33.63874,-112.435124
31.97979,-84.61978
30.442348,-91.007439
34.107338,-118.186638
37.371056,-121.901711
25.889278,-80.209335
32.963709,-117.095598
33.908588,-117.452995
45.086971,-121.544877
34.010796,-118.158852
38.25854,-85.78655
38.873123,-77.044762
40.65749,-73.98307
33.741909,-84.39151
37.632809,-122.109169
42.41229,-83.0708
41.90578,-87.96486
42.948872,-85.674728
29.704382,-95.422974
36.352586,-121.267679
33.411369,-84.161133
38.87033,-77.30082
40.66433,-111.88831
30.24247,-97.717247
41.44642,-72.7886
34.21817,-118.473122
34.44101,-119.81539
33.869411,-117.750336
37.74083,-121.50425
28.361481,-81.364906
28.55253,-81.38238
35.51157,-97.562637
43.76024,-94.42792
34.119808,-117.76162
39.433041,-76.314407
39.980843,-82.831131
35.11892,-80.69809
34.164246,-117.333267
39.254646,-94.658272
43.062153,-88.47155
42.379036,-83.216965
40.276478,-111.719635
33.947331,-118.279698
25.923931,-80.167923
33.835182,-117.940964
42.385025,-83.295181
35.481689,-97.543297
43.001911,-83.7826
33.207432,-84.060974
33.835915,-117.941429
32.631397,-84.801986
34.06754,-117.554889
30.145451,-97.699883
35.105061,-106.670677
32.92275,-96.75302
33.916785,-117.294428
33.489204,-82.080009
41.773296,-87.993965
33.445206,-117.631508
35.817291,-78.616447
37.913841,-122.317322
39.91021,-77.647537
43.060188,-83.813194
39.090248,-84.522636
30.31641,-81.524834
33.927925,-118.254295
32.773441,-96.792
36.561581,-119.863022
27.93107,-82.730148
25.927771,-80.204651
42.407471,-122.885353
39.481083,-76.249626
40.040001,-76.30162
38.95096,-77.17737
38.73714,-120.71722
39.456989,-76.310097
33.38597,-111.82819
37.847965,-122.027657
41.346176,-73.651749
40.88508,-73.9456
39.77329,-104.8459
35.102413,-80.7089
29.438339,-98.460945
33.928837,-118.294029
40.615593,-74.158012
34.196228,-79.652344
40.82009,-73.89026
34.13793,-117.2414
33.75872,-84.379395
36.047325,-118.93725
30.216276,-97.751244
35.87117,-78.833122
37.596207,-77.594452
28.512699,-81.396988
34.145752,-117.296654
42.68814,-123.39253
41.420506,-81.816078
42.88663,-71.47824
33.974728,-118.23024
33.983871,-117.972076
37.104446,-121.014053
33.91642,-118.273941
45.12175,-93.049438
38.910351,-122.609261
34.190571,-81.488838
33.39321,-84.7522
33.862823,-118.199265
40.20702,-76.219933
29.870113,-95.378609
34.114445,-84.222977
40.030991,-75.26313
28.606688,-81.386452
32.36039,-90.46045
37.575054,-122.04689
30.267656,-82.754761
32.722713,-96.812042
34.426987,-118.585144
40.822365,-73.887215
32.658253,-117.074074
30.521111,-91.164772
35.745251,-111.47377
40.845737,-73.931702
39.97007,-76.731628
37.51651,-121.94099
34.0264,-118.23524
30.386517,-81.557861
43.149971,-77.651039
32.39603,-93.727364
39.097605,-84.522128
47.62545,-122.33976
30.265137,-97.695374
40.04393,-104.976509
34.562679,-82.266739
26.663925,-81.886673
34.045883,-117.990723
34.49071,-118.16716
34.101284,-118.250534
30.416386,-91.069817
34.71933,-86.573067
27.4734,-82.56302
30.030119,-89.993507
32.7774,-96.78411
34.07243,-117.926513
41.98235,-87.81421
40.15955,-76.307549
43.717434,-87.760674
40.642002,-74.288857
41.188808,-95.933388
38.76748,-90.20694
27.893885,-82.688049
35.273621,-80.966202
33.879772,-117.562843
41.912464,-73.767799
35.413029,-97.565529
30.407841,-97.678215
41.00799,-75.63607
38.505622,-121.455968
38.617699,-121.371597
39.681412,-84.22982
36.94596,-77.39243
37.611149,-77.447662
40.602837,-111.904231
30.011108,-90.013092
44.629559,-92.853058
32.893955,-79.981621
33.846313,-84.368347
29.898005,-95.412376
37.68592,-121.91662
33.911015,-78.838631
28.186235,-82.38707
30.190062,-81.672363
45.43257,-122.57927
44.961502,-92.773544
34.027863,-117.124405
35.87355,-78.727692
29.758419,-95.500694
47.546932,-122.307884
38.75174,-121.392685
39.188095,-104.850433
33.069042,-117.293587
34.706242,-82.453743
36.14898,-86.70336
34.455959,-118.617599
38.947018,-76.82917
40.106331,-75.124168
35.383888,-97.08947
32.090961,-81.127968
30.387018,-97.648544
35.19481,-80.76629
35.565632,-97.656059
34.114861,-117.20031
33.65615,-117.74444
40.7277,-112.16734
33.791988,-117.831078
41.122456,-112.021759
34.046958,-118.446773
34.155766,-118.242256
42.527599,-82.909058
42.06503,-88.33564
35.441127,-119.086623
47.080513,-122.047546
30.3322,-97.68654
33.81757,-84.25198
40.128525,-75.43148
29.392955,-98.662631
42.252487,-89.066589
32.83773,-97.09641
30.55916,-91.02523
32.84365,-96.77463
34.028503,-118.067902
37.73165,-112.27909
40.147987,-76.2817
44.97933,-93.08886
27.581997,-82.582634
42.616599,-82.95307
32.49744,-96.823044
43.87376,-88.35026
38.941807,-94.787811
35.89922,-78.76234
30.354298,-91.027672
33.98751,-118.13759
36.112389,-86.929558
29.62326,-95.228531
45.59867,-122.68443
40.13102,-86.51924
25.718044,-80.310432
42.96272,-87.97574
37.892872,-122.125
38.477859,-121.40522
39.38866,-121.405342
32.725098,-80.900887
40.0532,-76.261322
36.141567,-86.740562
32.396141,-110.95929
29.7624,-95.37249
44.398354,-123.06114
34.136197,-117.436791
38.914051,-104.775253
33.45118,-111.987137
32.749481,-97.289185
41.78651,-88.074211
45.528721,-122.602249
40.705383,-74.245613
37.316689,-121.919304
39.852928,-86.276375
32.822014,-97.469505
28.300892,-81.416016
33.87334,-118.2071
32.32069,-111.171082
40.801052,-73.829041
39.763432,-84.194748
43.030691,-124.080957
34.795238,-82.386589
37.782628,-121.977879
41.769535,-72.668213
29.7247,-95.49035
44.94419,-93.34647
44.830116,-93.167381
42.043018,-87.87001
37.743958,-122.405594
35.698414,-78.584488
29.717735,-95.513542
34.031368,-118.192307
